country,bromeliad_id,day,class,ord,family,subfamily,genus,species,abundance,size_mm,dry_mass_mg,bromspecies,predator,resource
bras,E27,02/04/2022,Hexapoda,Orthoptera,Tettigoniidae,NA,NA,nymph1,1,NA,NA,alcantarea_imperialis,absent,control
bras,E11,02/04/2022,Hexapoda,Orthoptera,Acrididae,NA,NA,nymph1,1,NA,NA,alcantarea_imperialis,present,control
bras,E31,02/04/2022,Hexapoda,Diptera,Phoridae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,control
bras,E24,02/04/2022,Hexapoda,Diptera,Phoridae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E21,02/04/2022,Hexapoda,Orthoptera,Acrididae,NA,NA,nymph2,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E23,02/04/2022,Hexapoda,Coleoptera,Chrysomelidae,Alticinae,NA,sp1,1,NA,NA,alcantarea_imperialis,absent,enriched
bras,E4,02/04/2022,Hexapoda,Hymenoptera,Formicidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E4,02/04/2022,Hexapoda,Hemiptera,NA,NA,NA,nymph1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E15,02/04/2022,Hexapoda,Lepidoptera,NA,NA,NA,larva1,1,NA,NA,alcantarea_imperialis,present,control
bras,E15,02/04/2022,Hexapoda,Coleoptera,Curculionidae,Entiminae,NA,sp1,1,NA,NA,alcantarea_imperialis,present,control
bras,E15,02/04/2022,Hexapoda,Diptera,Tephritidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,control
bras,E3,02/04/2022,Hexapoda,Lepidoptera,NA,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
bras,E3,02/04/2022,Hexapoda,Hemiptera,Cicadellidae,NA,NA,sp1,1,NA,NA,alcantarea_imperialis,present,enriched
