country,bromeliad_id,bromspecies,predator,resource,taxon,species,stage,n_indiv,invert_mass_mg,mass_measured,p_prcnt
bras,E1,alcantarea_imperialis,present,enriched,Tipulidae,Tipulidae,larva,1,0.066,0.1314,0.190
bras,E1,alcantarea_imperialis,present,enriched,Culicidae,Culicidae,adult,1,0.098,0.06,0.400
bras,E2,alcantarea_imperialis,present,enriched,Tipulidae,Tipulidae,larva,1,0.606,0.7191,0.113
bras,E3,alcantarea_imperialis,present,enriched,Tipulidae,Tipulidae,larva,3,0.701,0.3362,0.175
bras,E3,alcantarea_imperialis,present,enriched,Culicidae,Culicidae,larva,1,0.114,0.0477,0.252
bras,E3,alcantarea_imperialis,present,enriched,Culicidae,Culicidae,adult,3,0.431,0.2007,0.135
bras,E3,alcantarea_imperialis,present,enriched,Tipulidae,Tipulidae,adult,1,1.129,0.8459,0.028
bras,E4,alcantarea_imperialis,present,enriched,Tipulidae,Tipulidae,larva,1,0.214,0.0701,0.157
bras,E5,alcantarea_imperialis,present,enriched,Tipulidae,Tipulidae,larva,1,0.13,0.0326,0.399
bras,E7,alcantarea_imperialis,present,enriched,Culicidae,Culicidae,adult,2,0.499,0.1878,0.304
bras,E7,alcantarea_imperialis,present,enriched,Tipulidae,Tipulidae,adult,1,0.274,0.2187,0.064
bras,E8,alcantarea_imperialis,present,enriched,Culicidae,Culicidae,adult,2,0.429,0.0736,0.543
bras,E9,alcantarea_imperialis,present,control,Culicidae,Culicidae,adult,3,0.456,0.3416,0.269
bras,E10,alcantarea_imperialis,present,control,Tipulidae,Tipulidae,adult,3,1.842,0.8695,0.030
bras,E11,alcantarea_imperialis,present,control,Tipulidae,Tipulidae,larva,2,0.106,0.0231,0.476
bras,E11,alcantarea_imperialis,present,control,Culicidae,Culicidae,adult,1,0.218,0.1102,0.345
bras,E12,alcantarea_imperialis,present,control,Culicidae,Culicidae,adult,3,0.463,0.0344,2.703
bras,E13,alcantarea_imperialis,present,control,Tipulidae,Tipulidae,larva,1,0.047,0.0189,0.582
bras,E13,alcantarea_imperialis,present,control,Culicidae,Culicidae,larva,1,0.405,0.1329,2.160
bras,E13,alcantarea_imperialis,present,control,Culicidae,Culicidae,adult,2,0.334,0.2203,0.336
bras,E15,alcantarea_imperialis,present,control,Tipulidae,Tipulidae,adult,1,0.465,0.2657,0.056
bras,E15,alcantarea_imperialis,present,control,Culicidae,Culicidae,adult,2,0.216,0.0958,0.198
bras,E16,alcantarea_imperialis,present,control,Tipulidae,Tipulidae,larva,3,1.589,0.9316,0.079
bras,E16,alcantarea_imperialis,present,control,Culicidae,Culicidae,adult,1,0.23,0.107,0.280
bras,E17,alcantarea_imperialis,absent,enriched,Tipulidae,Tipulidae,larva,1,0.709,0.4907,0.202
