country,bromeliad_id,day,temp_C,pH,conductivity_uScm,total_p_ugL,nh4_ugL,chloro_ugL,ammonium_ppm,phosphate_ppm,bromspecies,predator,resource
bras,E4,02/04/2022,NA,NA,NA,169.60000000000002,NA,NA,NA,NA,alcantarea_imperialis,present,enriched
bras,E7,02/04/2022,NA,NA,NA,12.895,NA,NA,NA,NA,alcantarea_imperialis,present,enriched
bras,E11,02/04/2022,NA,NA,NA,65.48,NA,NA,NA,NA,alcantarea_imperialis,present,control
bras,E14,02/04/2022,NA,NA,NA,123.30000000000001,NA,NA,NA,NA,alcantarea_imperialis,present,control
bras,E15,02/04/2022,NA,NA,NA,71.475,NA,NA,NA,NA,alcantarea_imperialis,present,control
bras,E20,02/04/2022,NA,NA,NA,251.55,NA,NA,NA,NA,alcantarea_imperialis,absent,enriched
bras,E22,02/04/2022,NA,NA,NA,181.05,NA,NA,NA,NA,alcantarea_imperialis,absent,enriched
bras,E23,02/04/2022,NA,NA,NA,122.19999999999999,NA,NA,NA,NA,alcantarea_imperialis,absent,enriched
bras,E26,02/04/2022,NA,NA,NA,89.88,NA,NA,NA,NA,alcantarea_imperialis,absent,control
bras,E27,02/04/2022,NA,NA,NA,96.465,NA,NA,NA,NA,alcantarea_imperialis,absent,control
bras,E28,02/04/2022,NA,NA,NA,102.30000000000001,NA,NA,NA,NA,alcantarea_imperialis,absent,control
bras,E29,02/04/2022,NA,NA,NA,190.1,NA,NA,NA,NA,alcantarea_imperialis,absent,control
bras,E30,02/04/2022,NA,NA,NA,47.4,NA,NA,NA,NA,alcantarea_imperialis,absent,control
bras,E31,02/04/2022,NA,NA,NA,250.6,NA,NA,NA,NA,alcantarea_imperialis,absent,control
bras,E32,02/04/2022,NA,NA,NA,62.75,NA,NA,NA,NA,alcantarea_imperialis,absent,control
bras,E1,07/04/2022,26.4,6.266,68.3,40.685,NA,1.1974545454545453,NA,NA,alcantarea_imperialis,present,enriched
bras,E2,07/04/2022,26.4,6.147,62.7,106.975,NA,0.06799999999999995,NA,NA,alcantarea_imperialis,present,enriched
bras,E3,07/04/2022,26.5,5.862,31.7,64.12,NA,0,NA,NA,alcantarea_imperialis,present,enriched
bras,E4,07/04/2022,26.5,5.645,41.1,87.77000000000001,NA,0,NA,NA,alcantarea_imperialis,present,enriched
bras,E5,07/04/2022,26.4,5.989,57,182.75,NA,0.1387500000000001,NA,NA,alcantarea_imperialis,present,enriched
bras,E6,07/04/2022,26.5,5.854,28.3,20.335,NA,0.11223333333333335,NA,NA,alcantarea_imperialis,present,enriched
bras,E7,07/04/2022,26.5,6.24,54.1,161.5,NA,0.023575221238938075,NA,NA,alcantarea_imperialis,present,enriched
bras,E8,07/04/2022,26.5,5.807,23.3,124.2,NA,0,NA,NA,alcantarea_imperialis,present,enriched
bras,E9,07/04/2022,26.4,6.36,24.7,43.92,35.49,0.039466666666666664,NA,NA,alcantarea_imperialis,present,control
bras,E10,07/04/2022,26.4,6.334,21.1,39.775,NA,0.15424472573839665,NA,NA,alcantarea_imperialis,present,control
bras,E11,07/04/2022,26.4,5.909,18.7,172.75,NA,0.2750707070707071,NA,NA,alcantarea_imperialis,present,control
bras,E12,07/04/2022,26.6,6.058,14.8,40.095,NA,0.16768807339449535,NA,NA,alcantarea_imperialis,present,control
bras,E13,07/04/2022,26.5,6.028,24.5,157.39999999999998,NA,0,NA,NA,alcantarea_imperialis,present,control
bras,E14,07/04/2022,26.6,5.679,20.3,91.595,NA,0,NA,NA,alcantarea_imperialis,present,control
bras,E15,07/04/2022,26.5,6.382,20.1,98.34,NA,0,NA,NA,alcantarea_imperialis,present,control
bras,E16,07/04/2022,26.4,6.135,23.5,8.36,NA,0,NA,NA,alcantarea_imperialis,present,control
bras,E17,07/04/2022,26.4,5.829,52.7,107.685,NA,0,NA,NA,alcantarea_imperialis,absent,enriched
bras,E18,07/04/2022,26.7,5.882,60.9,104.18,41.95,0,NA,NA,alcantarea_imperialis,absent,enriched
bras,E19,07/04/2022,26.5,6.474,46.7,NA,NA,0,NA,NA,alcantarea_imperialis,absent,enriched
bras,E20,07/04/2022,26.5,5.944,26.9,57.875,NA,0,NA,NA,alcantarea_imperialis,absent,enriched
bras,E21,07/04/2022,26.6,6.081,95.1,167.45,NA,NA,NA,NA,alcantarea_imperialis,absent,enriched
bras,E22,07/04/2022,26.4,6.235,22.1,26.36,NA,0,NA,NA,alcantarea_imperialis,absent,enriched
bras,E23,07/04/2022,26.3,5.702,53.9,143.60000000000002,NA,0,NA,NA,alcantarea_imperialis,absent,enriched
bras,E24,07/04/2022,26.4,5.405,173.9,206.1,NA,NA,NA,NA,alcantarea_imperialis,absent,enriched
bras,E25,07/04/2022,26.5,6.137,31.6,42.55,NA,0.1630508474576271,NA,NA,alcantarea_imperialis,absent,control
bras,E26,07/04/2022,26.5,6.228,23.7,NA,NA,0,NA,NA,alcantarea_imperialis,absent,control
bras,E27,07/04/2022,26.4,6.422,35.2,202,NA,0.03664761904761908,NA,NA,alcantarea_imperialis,absent,control
bras,E28,07/04/2022,26.4,6.187,10.9,72.37,NA,0,NA,NA,alcantarea_imperialis,absent,control
bras,E29,07/04/2022,26.4,5.991,18.8,59.805,NA,0,NA,NA,alcantarea_imperialis,absent,control
bras,E30,07/04/2022,26.5,6.008,24.9,220.75,NA,0,NA,NA,alcantarea_imperialis,absent,control
bras,E31,07/04/2022,26.3,5.558,114.4,252.05,NA,0,NA,NA,alcantarea_imperialis,absent,control
bras,E32,07/04/2022,26.4,6.102,12.1,143,NA,0,NA,NA,alcantarea_imperialis,absent,control
bras,E1,15/04/2022,21.7,5.825,20,46.99,NA,0.001850000000000027,NA,NA,alcantarea_imperialis,present,enriched
